"Record Id","Institution Name","Institution Owner.id","Institution Owner","Zoho old ID","Europeana org. ID"
zcrm_486281000000923268,Historypin,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338449,
zcrm_486281000000923269,"Net7 srl",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338467,
zcrm_486281000000923270,"National Library of Scotland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338491,
zcrm_486281000000923271,"PCCE (Provincial Centre for Cultural Heritage)",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338555,
zcrm_486281000000923272,"Natural History Museum, Berlin",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338581,
zcrm_486281000000923273,"Netherlands Institute for Sound & Vision",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338645,
zcrm_486281000000923274,"Federal Archives of Germany",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338735,
zcrm_486281000000923275,Rijksmuseum,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338795,
zcrm_486281000000923276,"Austrian National Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338827,
zcrm_486281000000923277,"National Gallery of Denmark",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338849,
zcrm_486281000000923278,Platoniq,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338875,
zcrm_486281000000923279,CulturaItalia,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338951,
zcrm_486281000000923280,Semantika,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000338967,
zcrm_486281000000923281,"European Museum Academy",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000339057,
zcrm_486281000000923282,"SPK - Institute for Museum Research",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341003,
zcrm_486281000000923283,"Consortium of European Research Libraries",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341045,
zcrm_486281000000923284,"Philharmonie de Paris",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341067,
zcrm_486281000000923285,"Data Archiving and Networked Services",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341087,
zcrm_486281000000923286,"The Israel Museum, Jerusalem",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341157,
zcrm_486281000000923287,"Digital Public Library of America",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341173,
zcrm_486281000000923288,"Els Jacobs Advies & Onderzoek",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341229,
zcrm_486281000000923289,"King's College London",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000341353,
zcrm_486281000000923290,"National and University Library in Zagreb",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361015,
zcrm_486281000000923291,"Federation of European Publishers",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361029,
zcrm_486281000000923292,"University of Naples Federico II",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361043,
zcrm_486281000000923293,"Aalto University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361099,
zcrm_486281000000923294,"Institute for Space representation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361183,
zcrm_486281000000923295,"University of Trento",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361197,
zcrm_486281000000923296,Mozajka,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361211,
zcrm_486281000000923297,"Rörstrand Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361267,
zcrm_486281000000923298,"The University of Virginia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361333,
zcrm_486281000000923299,"European Schoolnet",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361347,
zcrm_486281000000923300,"National Library of Wales",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361361,
zcrm_486281000000923301,"House of Images",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361389,
zcrm_486281000000923302,"Culture Information Systems Centre",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361445,
zcrm_486281000000923303,"Niall O'Leary Sevices",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361459,
zcrm_486281000000923304,"Cyprus Institute",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361473,
zcrm_486281000000923305,"Project Consult Unternehmensberatung GmbH",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361487,
zcrm_486281000000923306,"Centre for Contemporary History Potsdam",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361501,
zcrm_486281000000923307,"The Moravian Library in Brno",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361515,
zcrm_486281000000923308,"Museum Geelvinck",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361529,
zcrm_486281000000923309,"MK5060 - full circle projects Ltd",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361543,
zcrm_486281000000923310,"Pozega Public Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361613,
zcrm_486281000000923311,"Asplan viak internet",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361693,
zcrm_486281000000923312,"University of Malta",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361777,
zcrm_486281000000923313,"University of Chicago Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361829,
zcrm_486281000000923314,Nasjonalmuseet,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361843,
zcrm_486281000000923315,"National Archives of Malta",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361857,
zcrm_486281000000923316,"Bulgarian National Radio",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361885,
zcrm_486281000000923317,"Zetcom Ltd.",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361941,
zcrm_486281000000923318,"University of Amsterdam",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000361997,
zcrm_486281000000923319,"Italian Geographical Society",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362011,
zcrm_486281000000923320,"Catholic University of Leuven",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362039,
zcrm_486281000000923321,"Archives of North Holland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362053,
zcrm_486281000000923322,"Netherlands Architecture Institute",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362109,
zcrm_486281000000923323,Hyperborea,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362123,
zcrm_486281000000923324,"National Heritage Board of Poland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362165,
zcrm_486281000000923325,"The National Archives of Latvia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362179,
zcrm_486281000000923326,"Stadtarchiv Linz am Rhein",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362207,
zcrm_486281000000923327,"Het Rotterdamsch Leeskabinet",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362235,
zcrm_486281000000923328,"French National Centre for Scientific Research",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362249,
zcrm_486281000000923329,"Municipality of Seixal",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362277,
zcrm_486281000000923330,"Albanian Film Archive",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362305,
zcrm_486281000000923331,"University Museum Utrecht",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362333,
zcrm_486281000000923332,Kosson,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362347,
zcrm_486281000000923333,"Heritage Leiden",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362361,
zcrm_486281000000923334,Manuscriptorium,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362375,
zcrm_486281000000923335,"National Library of Serbia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362501,
zcrm_486281000000923336,"PACKED vzw",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362515,
zcrm_486281000000923337,"RTV Slovenia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362543,
zcrm_486281000000923338,WikiDonne,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362609,
zcrm_486281000000923339,"Alexandru Ioan Cuza University of Iasi",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362637,
zcrm_486281000000923340,"National and University Library of Slovenia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362651,
zcrm_486281000000923341,"Slovenian Ethnographic Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362665,
zcrm_486281000000923342,"Integra Foundation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362679,
zcrm_486281000000923343,"Institute for Balkan Studies, Serbian Academy of Sciences and Arts",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362693,
zcrm_486281000000923344,"Marsh's Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362707,
zcrm_486281000000923345,"National Archives of Romania",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362763,
zcrm_486281000000923346,"Museotechniki Ltd.",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362787,
zcrm_486281000000923347,"Archivo General de Indias",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362853,
zcrm_486281000000923348,"Archivarium - Association",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362943,
zcrm_486281000000923349,"Arhebis Digital Systems",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362957,
zcrm_486281000000923350,"National and University Library of Iceland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362971,
zcrm_486281000000923351,Digibís,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000362985,
zcrm_486281000000923352,"Stockholm county museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363023,
zcrm_486281000000923353,"Cathedra Màrius Torres",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363065,
zcrm_486281000000923354,Freelance,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363079,
zcrm_486281000000923355,"Wikimedia Sweden",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363107,
zcrm_486281000000923356,"Vera and Donald Blinken Open Society Archives at Central European University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363121,
zcrm_486281000000923357,"Estonian Photographic Heritage Society",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363135,
zcrm_486281000000923358,"Bern University of Applied Sciences",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363149,
zcrm_486281000000923359,"National Library of Ireland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363173,
zcrm_486281000000923360,"Think Tank Creative Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363239,
zcrm_486281000000923361,Globethics.net,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363263,
zcrm_486281000000923362,"Stead Pro S.L.",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363277,
zcrm_486281000000923363,"Heritage Brabant",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363291,
zcrm_486281000000923364,"National Archives of Luxembourg",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363305,
zcrm_486281000000923365,"Coret Genealogie",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363319,
zcrm_486281000000923366,"University College London",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363371,
zcrm_486281000000923367,"European Association for Jewish Culture",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363399,
zcrm_486281000000923368,"Royal Holloway University of London",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363413,
zcrm_486281000000923369,"Theodore Kuechel",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363427,
zcrm_486281000000923370,"Collections Trust",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363469,
zcrm_486281000000923371,"University of Hull",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363483,
zcrm_486281000000923372,"Pacificstream / Basecamp LIVERPOOL",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363525,
zcrm_486281000000923373,"Edge Hill University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363567,
zcrm_486281000000923374,"University of Macerata",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363633,
zcrm_486281000000923375,"Ataturk Supreme Council for Culture, Language and History",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363661,
zcrm_486281000000923376,"Slovak national gallery",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363675,
zcrm_486281000000923377,"Wikimedia Netherlands",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363731,
zcrm_486281000000923378,"Coventry University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363759,
zcrm_486281000000923379,"Wikimedia Spain",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363773,
zcrm_486281000000923380,"University College Dublin",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363835,
zcrm_486281000000923381,"Utrecht University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363859,
zcrm_486281000000923382,"Abdyl Frasheri",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363887,
zcrm_486281000000923383,"Armenian Center for Democratic Education -CIVITAS",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363929,
zcrm_486281000000923384,"The International Center for Information Management Systems and Services",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000363999,
zcrm_486281000000923385,"Irish Traditional Music Archive",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364187,
zcrm_486281000000923386,"Comhaltas Traditional Music Archive",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364271,
zcrm_486281000000923387,"The Film Library of Friuli",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364299,
zcrm_486281000000923388,"Ploner Collection - Donation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364341,
zcrm_486281000000923389,"IWR - Interdisciplinary Center for Scientific Computing",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364355,
zcrm_486281000000923390,"National Council for Curriculum and Assessment",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364383,
zcrm_486281000000923391,"Royal Museum for Central Africa",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364459,
zcrm_486281000000923392,"Free University of Brussels",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364483,
zcrm_486281000000923393,"University of Lyon",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364497,
zcrm_486281000000923394,"Creativity Lab",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364535,
zcrm_486281000000923395,Bibliomus,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364549,
zcrm_486281000000923396,"National Library of Finland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364563,
zcrm_486281000000923397,"Convent Primary",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364577,
zcrm_486281000000923398,"German Documentation Center for Art History - Marburg Picture Index",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364591,
zcrm_486281000000923399,"Royal Museums of Art and History, Brussels",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364629,
zcrm_486281000000923400,"FARO Flemish interface centre for cultural heritage",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364653,
zcrm_486281000000923401,"Joanneum Research",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364681,
zcrm_486281000000923402,"Ethnological Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364709,
zcrm_486281000000923403,"Paris Musées",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364747,
zcrm_486281000000923404,"Ministry of Culture and National Heritage Poland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364771,
zcrm_486281000000923405,"Freelance Curator",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364785,
zcrm_486281000000923406,"Irish Architectural Archive",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364799,
zcrm_486281000000923407,"Facts & Files",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364813,
zcrm_486281000000923408,"National Technical University of Athens",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364837,
zcrm_486281000000923409,"Phonogrammarchiv of the Austrian Academy of Sciences",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364851,
zcrm_486281000000923410,"Digital Repository of Ireland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364879,
zcrm_486281000000923411,"Argos, Centre for Art and Media",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364907,
zcrm_486281000000923412,"Aristotle University of Thessaloniki Central Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000364921,
zcrm_486281000000923413,thinkMOTION,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365001,
zcrm_486281000000923414,"Deutsches Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365029,
zcrm_486281000000923415,"NGM bvba",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365109,
